experiment,P,seed,timing_repeat,mse_exact,nmse_exact,max_abs_err_exact,mse_approx_4d,nmse_approx_4d,max_abs_err_approx_4d,mse_hybrid,nmse_hybrid,max_abs_err_hybrid,runtime_soce_s,runtime_exact_alpha_s,runtime_exact_recon_s,runtime_exact_total_s,runtime_approx_4d_alpha_s,runtime_approx_4d_recon_s,runtime_approx_4d_total_s,runtime_hybrid_alpha_s,runtime_hybrid_recon_s,runtime_hybrid_total_s,num_seeds,num_timing_repeats,basis_runtime_included,matlab_version
nmse,80,7,NaN,3.52006429201522e-09,3.0562985656468e-09,0.000200960774648615,5.09246134149834e-05,4.42153352963982e-05,0.0167509157115445,1.39415214255595e-07,1.21047368460074e-07,0.000892062057481926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,80,8,NaN,1.33833089113371e-09,2.12224706497196e-09,0.000127105999879823,6.23247979785954e-05,9.88310293525385e-05,0.0194861215046043,2.35583296268424e-07,3.73574250115798e-07,0.00217167824201252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,80,9,NaN,9.81528033084521e-09,1.08675774155218e-08,0.00028701477089484,6.57468578338658e-05,7.27955843595669e-05,0.0194395012894247,1.1357818238722e-07,1.2575490950864e-07,0.00142154621556262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,80,10,NaN,3.78985069411059e-09,1.25544180438189e-08,0.000190315855465352,3.8558837696096e-05,0.000127731619737109,0.0186408729941581,1.20623533568625e-07,3.99582566325489e-07,0.00131238604253007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,80,11,NaN,5.16842028656563e-09,7.6185347753137e-09,0.000228354958562344,3.65156142331061e-05,5.38260167424808e-05,0.0141812655679286,1.08148412631979e-07,1.59416687662451e-07,0.00108636419926493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,80,12,NaN,9.76122229934003e-10,1.4703061910072e-09,0.000134927861923201,6.26262210317204e-05,9.43321621807031e-05,0.0200412854925516,1.65580362186218e-07,2.49409166358266e-07,0.00183084738227557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,80,13,NaN,6.5153917011158e-09,6.37177066753895e-09,0.000277787058787948,4.25717534770181e-05,4.16333295854044e-05,0.0190197128958556,1.65435828394343e-07,1.61789069188666e-07,0.00143638597486954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,80,14,NaN,8.54883413643567e-10,1.11982212570476e-09,0.000102336304356634,9.37070144112634e-05,0.000122747951822141,0.021240453768598,2.79450300114686e-07,3.6605532884246e-07,0.00225198750279496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,80,15,NaN,7.82928195088314e-09,8.12922348043268e-09,0.000235251717352823,6.03579509722264e-05,6.26702774727484e-05,0.02221013258922,1.75649095764303e-07,1.82378251615127e-07,0.00164755416551447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,80,16,NaN,2.6256659836507e-09,1.38522696300774e-09,0.000169841240731761,3.52545863234673e-05,1.85993206481848e-05,0.0127049251133884,1.55302162808884e-07,8.19330199179302e-08,0.00122868505531154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,80,17,NaN,1.19905514811603e-09,1.03864884184059e-09,0.000133164900479976,6.73246429958624e-05,5.83181370638816e-05,0.0236173809322014,3.38727704047979e-07,2.93413641617349e-07,0.00213680077524201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,80,18,NaN,1.84626632339065e-09,1.38574002422391e-09,0.000131745101307929,4.81766362965324e-05,3.61596224243415e-05,0.0161561781973142,1.51110058467464e-07,1.13417687052115e-07,0.00159631282291748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,80,19,NaN,3.19529049546916e-09,1.37719766270906e-09,0.00027104259267851,8.75955116900601e-05,3.77544183023152e-05,0.0273441084447273,2.32111146701176e-07,1.00041898906798e-07,0.00131825306699554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,80,20,NaN,1.46926514102487e-08,1.55673990527599e-08,0.000348623151790653,4.4029569006522e-05,4.66509312517582e-05,0.021168261029132,3.25752591579246e-07,3.45146729748692e-07,0.00209627819002028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,160,1,NaN,4.52207291894826e-09,9.29927600040773e-09,0.000210243319325603,5.77769485632639e-05,0.000118813606233513,0.0198900857023219,1.80480996888354e-07,3.71144524419541e-07,0.00175442136466709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,160,2,NaN,1.26195969156023e-09,1.86953802737691e-09,0.000127979579990935,6.57535019148573e-05,9.74109340299472e-05,0.0235836940698983,5.5312170026842e-07,8.19425580178944e-07,0.00341139894718143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,160,3,NaN,3.49079478485765e-09,4.85713394198167e-09,0.000226717342709873,3.9991082994405e-05,5.56440749342563e-05,0.0168157566297402,1.33073786146142e-07,1.85160470126231e-07,0.00145186385864274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,160,4,NaN,1.09096783059776e-09,1.08843093462494e-09,0.000126639161338701,8.77068947673771e-05,8.75029444199119e-05,0.0264176325759149,1.69903653820086e-07,1.69508566189585e-07,0.00125202865798895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,160,5,NaN,1.4009692650304e-08,1.69662198548803e-08,0.000397153306402483,6.50271017456359e-05,7.87500577122364e-05,0.0204052890033821,7.52865962391397e-08,9.11746585597748e-08,0.00065582275036456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,160,6,NaN,2.65926396002191e-09,2.05347031321211e-09,0.000183847968820548,5.06134264906055e-05,3.90834344806994e-05,0.0196251886174674,1.69035243131539e-07,1.30528168273429e-07,0.00145856764148154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,160,7,NaN,5.42482116858929e-09,4.79028815245955e-09,0.000197994473511005,5.22822865823946e-05,4.61669076667955e-05,0.0176481421709305,1.72445817590964e-07,1.52275094657546e-07,0.00153995359000962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
nmse,160,8,NaN,1.06309936258126e-09,1.50657352712921e-09,0.000100880182437213,5.12952995195665e-05,7.26932430235894e-05,0.0163012515209772,2.22811132254461e-07,3.15757270881251e-07,0.00142364523613625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,10,0,25.2.0.2998904 (R2025b)
